PaymentSchedKey,SaleKey,DueDate,AmountDueAED,AmountPaidAED,PaidDate,PaymentStatus
1,1432,2021-02-01T00:00:00,51488,51488,2021-02-01,Paid
2,1390,2021-02-01T00:00:00,197456,197456,2021-02-01,Paid
3,1217,2021-02-01T00:00:00,316040,316040,2021-02-01,Paid
4,1584,2021-02-01T00:00:00,248442,248442,2021-02-01,Paid
5,1434,2021-02-01T00:00:00,95423,95423,2021-02-01,Paid
6,1554,2021-02-01T00:00:00,82486,82486,2021-02-01,Paid
7,1472,2021-02-01T00:00:00,71592,71592,2021-02-01,Paid
8,1267,2021-02-01T00:00:00,56197,56197,2021-02-01,Paid
9,1604,2021-02-14T00:00:00,49116,49116,2021-02-14,Paid
10,1498,2021-02-01T00:00:00,178010,0,,Due
11,1519,2021-02-01T00:00:00,131050,131050,2021-02-01,Paid
12,1653,2021-02-01T00:00:00,860061,860061,2021-02-01,Paid
13,1379,2021-02-01T00:00:00,261609,261609,2021-02-01,Paid
14,1237,2021-02-01T00:00:00,137854,137854,2021-02-01,Paid
15,1460,2021-02-01T00:00:00,121681,121681,2021-02-01,Paid
16,1615,2021-02-01T00:00:00,94370,94370,2021-02-01,Paid
17,1322,2021-02-01T00:00:00,81179,81179,2021-02-01,Paid
18,1336,2021-02-01T00:00:00,173091,0,,Due
19,1325,2021-02-01T00:00:00,340268,340268,2021-02-01,Paid
20,1544,2021-02-01T00:00:00,106572,106572,2021-02-01,Paid
21,1246,2021-02-01T00:00:00,106710,106710,2021-02-01,Paid
22,1512,2021-02-01T00:00:00,207706,207706,2021-02-01,Paid
23,1692,2021-02-21T00:00:00,40829,40829,2021-02-21,Paid
24,1627,2021-02-01T00:00:00,179743,179743,2021-02-01,Paid
25,1458,2021-02-01T00:00:00,55903,55903,2021-02-01,Paid
26,1581,2021-02-01T00:00:00,70601,70601,2021-02-01,Paid
27,1559,2021-02-01T00:00:00,24074,24074,2021-02-01,Paid
28,1677,2021-02-01T00:00:00,134157,0,,Due
29,1226,2021-02-01T00:00:00,1305794,1305794,2021-02-01,Paid
30,1342,2021-02-01T00:00:00,125887,125887,2021-02-01,Paid
31,1456,2021-02-01T00:00:00,25874,25874,2021-02-01,Paid
32,1476,2021-02-01T00:00:00,117564,0,,Due
33,1502,2021-02-01T00:00:00,150036,150036,2021-02-01,Paid
34,1675,2021-02-01T00:00:00,155839,155839,2021-02-01,Paid
35,1448,2021-02-01T00:00:00,30408,30408,2021-02-01,Paid
36,1698,2021-02-01T00:00:00,59435,0,,Due
37,1562,2021-02-01T00:00:00,36728,36728,2021-02-01,Paid
38,1470,2021-02-01T00:00:00,50378,50378,2021-02-01,Paid
39,1620,2021-02-01T00:00:00,42648,42648,2021-02-01,Paid
40,1264,2021-02-01T00:00:00,65881,0,,Due
41,1409,2021-02-01T00:00:00,270050,270050,2021-02-01,Paid
42,1333,2021-02-01T00:00:00,256170,256170,2021-02-01,Paid
43,1298,2021-02-01T00:00:00,629427,629427,2021-02-01,Paid
44,1227,2021-02-01T00:00:00,176839,176839,2021-02-01,Paid
45,1640,2021-02-01T00:00:00,95062,95062,2021-02-01,Paid
46,1441,2021-02-01T00:00:00,103583,103583,2021-02-01,Paid
47,1708,2021-02-01T00:00:00,70361,70361,2021-02-01,Paid
48,1509,2021-02-01T00:00:00,132315,132315,2021-02-01,Paid
49,1611,2021-02-01T00:00:00,84647,84647,2021-02-01,Paid
50,1335,2021-02-01T00:00:00,239814,239814,2021-02-01,Paid
51,1468,2021-02-01T00:00:00,72460,72460,2021-02-01,Paid
52,1493,2021-02-01T00:00:00,157869,157869,2021-02-01,Paid
53,1405,2021-02-01T00:00:00,155309,155309,2021-02-01,Paid
54,1208,2021-02-01T00:00:00,144786,144786,2021-02-01,Paid
55,1580,2021-02-01T00:00:00,55409,55409,2021-02-01,Paid
56,1679,2021-02-01T00:00:00,53725,0,,Due
57,1357,2021-02-01T00:00:00,296183,296183,2021-02-01,Paid
58,1577,2021-02-01T00:00:00,112225,112225,2021-02-01,Paid
59,1367,2021-02-01T00:00:00,1850902,1850902,2021-02-01,Paid
60,1466,2021-02-01T00:00:00,68848,68848,2021-02-01,Paid
61,1501,2021-03-01T00:00:00,624537,0,,Due
62,1335,2021-03-01T00:00:00,239814,239814,2021-03-01,Paid
63,1381,2021-03-01T00:00:00,226364,226364,2021-03-01,Paid
64,1699,2021-03-01T00:00:00,54684,54684,2021-03-01,Paid
65,1280,2021-03-01T00:00:00,483383,483383,2021-03-01,Paid
66,1427,2021-03-01T00:00:00,116341,116341,2021-03-01,Paid
67,1457,2021-03-01T00:00:00,122943,122943,2021-03-01,Paid
68,1550,2021-03-01T00:00:00,94656,0,,Due
69,1490,2021-03-01T00:00:00,161127,161127,2021-03-01,Paid
70,1205,2021-03-01T00:00:00,1618992,1618992,2021-03-01,Paid
71,1304,2021-03-01T00:00:00,142654,142654,2021-03-01,Paid
72,1301,2021-03-01T00:00:00,143956,143956,2021-03-01,Paid
73,1737,2021-03-04T00:00:00,12689,12689,2021-03-04,Paid
74,1492,2021-03-01T00:00:00,165188,165188,2021-03-01,Paid
75,1428,2021-03-01T00:00:00,241842,241842,2021-03-01,Paid
76,1520,2021-03-01T00:00:00,87180,87180,2021-03-01,Paid
