Date,CurrencyCode,RateToAED
2021-01-01,AED,2.5135
2021-01-01,USD,3.2091
2021-01-01,INR,1.6031
2021-01-01,GBP,1.5847
2021-01-01,EUR,3.6059
2021-01-01,RUB,3.2298
2021-01-01,CNY,3.3365
2021-02-01,AED,3.2143
2021-02-01,USD,3.7703
2021-02-01,INR,3.315
2021-02-01,GBP,1.3314
2021-02-01,EUR,2.5946
2021-02-01,RUB,1.2307
2021-02-01,CNY,0.9779
2021-03-01,AED,1.324
2021-03-01,USD,2.0857
2021-03-01,INR,3.5987
2021-03-01,GBP,1.9795
2021-03-01,EUR,3.0485
2021-03-01,RUB,2.2779
2021-03-01,CNY,0.3435
2021-04-01,AED,2.7439
2021-04-01,USD,0.2466
2021-04-01,INR,2.3036
2021-04-01,GBP,0.6493
2021-04-01,EUR,2.3886
2021-04-01,RUB,1.2388
2021-04-01,CNY,2.4635
2021-05-01,AED,3.5872
2021-05-01,USD,0.9144
2021-05-01,INR,0.2568
2021-05-01,GBP,2.2522
2021-05-01,EUR,2.9733
2021-05-01,RUB,2.1986
2021-05-01,CNY,3.5922
2021-06-01,AED,2.953
2021-06-01,USD,1.4527
2021-06-01,INR,1.4987
2021-06-01,GBP,3.4948
2021-06-01,EUR,1.2453
2021-06-01,RUB,2.3781
2021-06-01,CNY,3.8543
2021-07-01,AED,3.4673
2021-07-01,USD,1.8905
2021-07-01,INR,1.0122
2021-07-01,GBP,1.4794
2021-07-01,EUR,3.228
2021-07-01,RUB,0.2923
2021-07-01,CNY,2.3104
2021-08-01,AED,0.43
2021-08-01,USD,0.7981
2021-08-01,INR,3.9291
2021-08-01,GBP,0.9364
2021-08-01,EUR,1.4554
2021-08-01,RUB,0.3615
2021-08-01,CNY,2.6723
2021-09-01,AED,1.5778
2021-09-01,USD,1.9897
2021-09-01,INR,1.8083
2021-09-01,GBP,2.1069
2021-09-01,EUR,3.242
2021-09-01,RUB,3.9061
2021-09-01,CNY,3.0294
2021-10-01,AED,3.4094
2021-10-01,USD,1.3823
2021-10-01,INR,1.2795
2021-10-01,GBP,0.6493
2021-10-01,EUR,2.3457
2021-10-01,RUB,3.4947
2021-10-01,CNY,1.1883
2021-11-01,AED,2.6156
2021-11-01,USD,0.4272
2021-11-01,INR,0.611
2021-11-01,GBP,3.673
2021-11-01,EUR,0.2
